text,label
"Vacuna milagrosa cura todas las enfermedades en 24 horas sin evidencia",Fake
"Actor famoso murió y resucitó, según cadena de WhatsApp",Fake
"Municipalidad de Huancayo regala vales de S/500 solo hoy (enlace acortado)",Fake
"Precio del dólar llegará a 20 soles este mes, afirma página anónima",Fake
"Hospital colapsa por nueva bacteria desconocida, sin fuentes citadas",Fake
"Alcalde confirmado en video prometiendo borrar multas a cambio de likes",Fake
"OMS confirma que el café causa pérdida de memoria; no hay nota oficial",Fake
"Congreso aprueba ley para trabajar solo 3 horas diarias, fake recurrente",Fake
"Vacuna del dengue contiene chips 5G, publicado en blog sin autor",Fake
"Ministro renuncia por escándalo revelado por TikTok sin pruebas",Fake
"Municipalidad de Huancayo aprueba plan de pavimentación 2025 con presupuesto",Real
"INEI publica cifras oficiales de empleo para Junín con metodología",Real
"Universidad Continental anuncia becas 2025 con bases y cronograma",Real
"MINSA reporta campaña de vacunación con puntos y horarios oficiales",Real
"Proyecto de riego tecnificado para valle del Mantaro recibe financiamiento",Real
"Tipo de cambio cierra con ligera baja según BCRP",Real
"Corte Superior de Junín publica fallo completo en su portal",Real
"RENIEC anuncia ampliación de horario por campaña de DNI",Real
"Huancayo: inauguran puente con detalle técnico y expediente disponible",Real
"Contraloría difunde informe y adjunta documento completo",Real
